@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
296,3417,136,660,6072,0.098039,0.961722,0.838116,0.961722,0.161884,0.895675,0.396403,2.426126,0.181
297,3417,136,659,6073,0.097891,0.961722,0.838322,0.961722,0.161678,0.895792,0.396305,2.426721,0.181667
298,3417,136,658,6074,0.097742,0.961722,0.838528,0.961722,0.161472,0.89591,0.396208,2.427317,0.182102
299,3417,136,657,6075,0.097594,0.961722,0.838733,0.961722,0.161267,0.896027,0.396111,2.427913,0.1825
300,3416,137,657,6075,0.097594,0.961441,0.838694,0.961441,0.161306,0.895883,0.396014,2.427798,0.183333
301,3416,137,655,6077,0.097296,0.961441,0.839106,0.961441,0.160894,0.896118,0.395819,2.428991,0.184
302,3416,137,653,6079,0.096999,0.961441,0.839518,0.961441,0.160482,0.896353,0.395625,2.430185,0.184931
303,3416,137,652,6080,0.096851,0.961441,0.839725,0.961441,0.160275,0.89647,0.395527,2.430782,0.185
304,3415,138,650,6082,0.096554,0.96116,0.840098,0.96116,0.159902,0.896561,0.395236,2.431864,0.185556
305,3415,138,648,6084,0.096257,0.96116,0.840512,0.96116,0.159488,0.896796,0.395041,2.433061,0.188088
306,3414,139,648,6084,0.096257,0.960878,0.840473,0.960878,0.159527,0.896651,0.394944,2.432947,0.19
307,3402,151,630,6102,0.093583,0.957501,0.84375,0.957501,0.15625,0.897034,0.392027,2.442434,0.191111
308,3401,152,629,6103,0.093434,0.957219,0.843921,0.957219,0.156079,0.897006,0.391833,2.442928,0.191333
309,3400,153,629,6103,0.093434,0.956938,0.843882,0.956938,0.156118,0.896861,0.391736,2.442816,0.191667
310,3400,153,628,6104,0.093286,0.956938,0.844091,0.956938,0.155909,0.896979,0.391638,2.443422,0.1925
311,3399,154,627,6105,0.093137,0.956656,0.844262,0.956656,0.155738,0.896952,0.391444,2.443917,0.193395
312,3398,155,627,6105,0.093137,0.956375,0.844224,0.956375,0.155776,0.896807,0.391347,2.443805,0.194286
313,3398,155,626,6106,0.092989,0.956375,0.844433,0.956375,0.155567,0.896925,0.391249,2.444412,0.1945
314,3397,156,626,6106,0.092989,0.956093,0.844395,0.956093,0.155605,0.896779,0.391152,2.444301,0.195
315,3396,157,625,6107,0.09284,0.955812,0.844566,0.955812,0.155434,0.896752,0.390958,2.444796,0.195556
316,3395,158,625,6107,0.09284,0.955531,0.844527,0.955531,0.155473,0.896606,0.39086,2.444684,0.196111
317,3394,159,625,6107,0.09284,0.955249,0.844489,0.955249,0.155511,0.896461,0.390763,2.444572,0.197222
318,3394,159,624,6108,0.092692,0.955249,0.844699,0.955249,0.155301,0.896579,0.390666,2.445181,0.1975
319,3394,159,623,6109,0.092543,0.955249,0.844909,0.955249,0.155091,0.896697,0.390569,2.44579,0.198
320,3394,159,622,6110,0.092395,0.955249,0.84512,0.955249,0.15488,0.896816,0.390472,2.446399,0.198636
321,3394,159,621,6111,0.092246,0.955249,0.84533,0.955249,0.15467,0.896934,0.390374,2.447008,0.199317
322,3393,160,621,6111,0.092246,0.954968,0.845291,0.954968,0.154709,0.896789,0.390277,2.446896,0.199714
323,3393,160,620,6112,0.092097,0.954968,0.845502,0.954968,0.154498,0.896907,0.39018,2.447506,0.2
324,3388,165,589,6143,0.087493,0.95356,0.851898,0.95356,0.148102,0.899867,0.38668,2.466022,0.200714
325,3388,165,588,6144,0.087344,0.95356,0.852113,0.95356,0.147887,0.899987,0.386582,2.466642,0.201111
326,3388,165,587,6145,0.087195,0.95356,0.852327,0.95356,0.147673,0.900106,0.386485,2.467262,0.2014
327,3388,165,586,6146,0.087047,0.95356,0.852542,0.95356,0.147458,0.900226,0.386388,2.467883,0.202222
328,3388,165,585,6147,0.086898,0.95356,0.852756,0.95356,0.147244,0.900345,0.386291,2.468505,0.2025
329,3387,166,585,6147,0.086898,0.953279,0.852719,0.953279,0.147281,0.900199,0.386193,2.468397,0.202857
330,3387,166,584,6148,0.08675,0.953279,0.852934,0.953279,0.147066,0.900319,0.386096,2.469019,0.203077
331,3387,166,583,6149,0.086601,0.953279,0.853149,0.953279,0.146851,0.900439,0.385999,2.469641,0.203125
332,3387,166,582,6150,0.086453,0.953279,0.853364,0.953279,0.146636,0.900558,0.385902,2.470263,0.203564
333,3386,167,582,6150,0.086453,0.952997,0.853327,0.952997,0.146673,0.900412,0.385805,2.470156,0.204286
334,3386,167,581,6151,0.086304,0.952997,0.853542,0.952997,0.146458,0.900532,0.385707,2.470779,0.205897
335,3386,167,579,6153,0.086007,0.952997,0.853972,0.952997,0.146028,0.900771,0.385513,2.472025,0.206
336,3386,167,578,6154,0.085859,0.952997,0.854188,0.952997,0.145812,0.900891,0.385416,2.472649,0.206667
337,3386,167,576,6156,0.085561,0.952997,0.854619,0.952997,0.145381,0.901131,0.385221,2.473897,0.206725
338,3386,167,575,6157,0.085413,0.952997,0.854835,0.952997,0.145165,0.901251,0.385124,2.474521,0.207381
339,3386,167,574,6158,0.085264,0.952997,0.855051,0.952997,0.144949,0.901371,0.385027,2.475146,0.209328
340,3386,167,573,6159,0.085116,0.952997,0.855266,0.952997,0.144734,0.901491,0.38493,2.475771,0.209691
341,3385,168,573,6159,0.085116,0.952716,0.85523,0.952716,0.14477,0.901345,0.384832,2.475666,0.21
342,3377,176,548,6184,0.081402,0.950464,0.860382,0.950464,0.139618,0.903183,0.381624,2.49058,0.210323
343,3377,176,547,6185,0.081254,0.950464,0.860601,0.950464,0.139399,0.903303,0.381526,2.491215,0.210435
344,3376,177,547,6185,0.081254,0.950183,0.860566,0.950183,0.139434,0.903157,0.381429,2.491112,0.211111
345,3376,177,546,6186,0.081105,0.950183,0.860785,0.950183,0.139215,0.903278,0.381332,2.491747,0.212
346,3376,177,545,6187,0.080957,0.950183,0.861005,0.950183,0.138995,0.903398,0.381235,2.492382,0.215
347,3376,177,544,6188,0.080808,0.950183,0.861224,0.950183,0.138776,0.903519,0.381138,2.493018,0.215556
348,3376,177,543,6189,0.08066,0.950183,0.861444,0.950183,0.138556,0.90364,0.38104,2.493654,0.216667
349,3376,177,542,6190,0.080511,0.950183,0.861664,0.950183,0.138336,0.903761,0.380943,2.494291,0.217143
350,3376,177,541,6191,0.080362,0.950183,0.861884,0.950183,0.138116,0.903882,0.380846,2.494928,0.2175
351,3376,177,540,6192,0.080214,0.950183,0.862104,0.950183,0.137896,0.904003,0.380749,2.495565,0.218
352,3375,178,540,6192,0.080214,0.949901,0.862069,0.949901,0.137931,0.903856,0.380651,2.495463,0.2185
353,3375,178,539,6193,0.080065,0.949901,0.862289,0.949901,0.137711,0.903978,0.380554,2.4961,0.22
354,3366,187,521,6211,0.077392,0.947368,0.865963,0.947368,0.134037,0.904839,0.377929,2.506736,0.220319
355,3366,187,518,6214,0.076946,0.947368,0.866632,0.947368,0.133368,0.905204,0.377637,2.508673,0.221111
356,3365,188,518,6214,0.076946,0.947087,0.866598,0.947087,0.133402,0.905056,0.37754,2.508573,0.222703
357,3365,188,517,6215,0.076797,0.947087,0.866821,0.947087,0.133179,0.905178,0.377443,2.509219,0.222727
358,3364,189,517,6215,0.076797,0.946806,0.866787,0.946806,0.133213,0.905031,0.377346,2.50912,0.223158
359,3364,189,516,6216,0.076649,0.946806,0.86701,0.946806,0.13299,0.905153,0.377248,2.509767,0.223556
360,3363,190,516,6216,0.076649,0.946524,0.866976,0.946524,0.133024,0.905005,0.377151,2.509667,0.223571
361,3363,190,515,6217,0.0765,0.946524,0.8672,0.946524,0.1328,0.905127,0.377054,2.510315,0.224167
362,3363,190,514,6218,0.076352,0.946524,0.867423,0.946524,0.132577,0.905249,0.376957,2.510962,0.22619
363,3363,190,513,6219,0.076203,0.946524,0.867647,0.946524,0.132353,0.905371,0.37686,2.51161,0.22625
364,3362,191,513,6219,0.076203,0.946243,0.867613,0.946243,0.132387,0.905223,0.376762,2.511511,0.228333
365,3362,191,512,6220,0.076055,0.946243,0.867837,0.946243,0.132163,0.905345,0.376665,2.512159,0.228421
366,3362,191,511,6221,0.075906,0.946243,0.868061,0.946243,0.131939,0.905467,0.376568,2.512808,0.2295
367,3362,191,510,6222,0.075758,0.946243,0.868285,0.946243,0.131715,0.905589,0.376471,2.513457,0.23
368,3353,200,491,6241,0.072935,0.94371,0.872268,0.94371,0.127732,0.906584,0.373748,2.524988,0.2304
369,3352,201,491,6241,0.072935,0.943428,0.872235,0.943428,0.127765,0.906436,0.373651,2.524891,0.230625
370,3352,201,490,6242,0.072787,0.943428,0.872462,0.943428,0.127538,0.906558,0.373554,2.525549,0.231
371,3352,201,488,6244,0.07249,0.943428,0.872917,0.943428,0.127083,0.906804,0.373359,2.526864,0.231154
372,3352,201,487,6245,0.072341,0.943428,0.873144,0.943428,0.126856,0.906926,0.373262,2.527522,0.231356
373,3352,201,485,6247,0.072044,0.943428,0.873599,0.943428,0.126401,0.907172,0.373068,2.52884,0.231852
374,3352,201,484,6248,0.071895,0.943428,0.873827,0.943428,0.126173,0.907295,0.37297,2.529499,0.23375
375,3352,201,483,6249,0.071747,0.943428,0.874055,0.943428,0.125945,0.907417,0.372873,2.530159,0.235
376,3352,201,482,6250,0.071598,0.943428,0.874283,0.943428,0.125717,0.90754,0.372776,2.530818,0.235989
377,3352,201,481,6251,0.07145,0.943428,0.874511,0.943428,0.125489,0.907663,0.372679,2.531479,0.23625
378,3351,202,481,6251,0.07145,0.943147,0.874478,0.943147,0.125522,0.907515,0.372581,2.531384,0.236774
379,3350,203,481,6251,0.07145,0.942865,0.874445,0.942865,0.125555,0.907367,0.372484,2.531289,0.237294
380,3349,204,481,6251,0.07145,0.942584,0.874413,0.942584,0.125587,0.907219,0.372387,2.531194,0.237439
381,3349,204,480,6252,0.071301,0.942584,0.874641,0.942584,0.125359,0.907342,0.37229,2.531855,0.237739
382,3349,204,479,6253,0.071153,0.942584,0.874869,0.942584,0.125131,0.907465,0.372193,2.532517,0.239
383,3348,205,479,6253,0.071153,0.942302,0.874837,0.942302,0.125163,0.907317,0.372095,2.532422,0.239041
384,3347,206,479,6253,0.071153,0.942021,0.874804,0.942021,0.125196,0.907169,0.371998,2.532327,0.239091
385,3347,206,478,6254,0.071004,0.942021,0.875033,0.942021,0.124967,0.907292,0.371901,2.532989,0.23977
386,3347,206,477,6255,0.070856,0.942021,0.875262,0.942021,0.124738,0.907415,0.371804,2.533652,0.239804
387,3347,206,476,6256,0.070707,0.942021,0.87549,0.942021,0.12451,0.907538,0.371706,2.534314,0.24
388,3338,215,461,6271,0.068479,0.939488,0.878652,0.939488,0.121348,0.908052,0.369373,2.543467,0.240833
389,3338,215,460,6272,0.06833,0.939488,0.878884,0.939488,0.121116,0.908176,0.369276,2.544137,0.241282
390,3337,216,460,6272,0.06833,0.939206,0.878852,0.939206,0.121148,0.908027,0.369178,2.544044,0.241875
391,3336,217,460,6272,0.06833,0.938925,0.87882,0.938925,0.12118,0.907879,0.369081,2.543952,0.242
392,3335,218,458,6274,0.068033,0.938643,0.879251,0.938643,0.120749,0.907977,0.368789,2.545201,0.243333
393,3335,218,457,6275,0.067885,0.938643,0.879483,0.938643,0.120517,0.908101,0.368692,2.545872,0.244388
394,3334,219,457,6275,0.067885,0.938362,0.879451,0.938362,0.120549,0.907952,0.368595,2.54578,0.244429
395,3333,220,457,6275,0.067885,0.93808,0.87942,0.93808,0.12058,0.907803,0.368498,2.545688,0.244783
396,3333,220,456,6276,0.067736,0.93808,0.879652,0.93808,0.120348,0.907927,0.368401,2.54636,0.245
397,3333,220,455,6277,0.067588,0.93808,0.879884,0.93808,0.120116,0.908051,0.368303,2.547032,0.247391
398,3333,220,454,6278,0.067439,0.93808,0.880116,0.93808,0.119884,0.908174,0.368206,2.547705,0.247749
399,3332,221,454,6278,0.067439,0.937799,0.880085,0.937799,0.119915,0.908026,0.368109,2.547613,0.248571
400,3332,221,453,6279,0.067291,0.937799,0.880317,0.937799,0.119683,0.908149,0.368012,2.548286,0.249608
401,3332,221,452,6280,0.067142,0.937799,0.88055,0.937799,0.11945,0.908273,0.367914,2.54896,0.25
402,3321,232,432,6300,0.064171,0.934703,0.884892,0.934703,0.115108,0.909116,0.3649,2.56153,0.250476
403,3320,233,432,6300,0.064171,0.934422,0.884861,0.934422,0.115139,0.908966,0.364803,2.561441,0.250909
404,3320,233,431,6301,0.064023,0.934422,0.885097,0.934422,0.114903,0.909091,0.364706,2.562124,0.250937
405,3319,234,431,6301,0.064023,0.93414,0.885067,0.93414,0.114933,0.908942,0.364609,2.562035,0.253472
406,3319,234,430,6302,0.063874,0.93414,0.885303,0.93414,0.114697,0.909066,0.364511,2.562718,0.254188
407,3319,234,429,6303,0.063725,0.93414,0.885539,0.93414,0.114461,0.909191,0.364414,2.563402,0.254619
408,3318,235,429,6303,0.063725,0.933859,0.885508,0.933859,0.114492,0.909041,0.364317,2.563314,0.255444
409,3317,236,429,6303,0.063725,0.933577,0.885478,0.933577,0.114522,0.908892,0.36422,2.563225,0.255556
410,3317,236,428,6304,0.063577,0.933577,0.885714,0.933577,0.114286,0.909016,0.364123,2.56391,0.255714
411,3316,237,428,6304,0.063577,0.933296,0.885684,0.933296,0.114316,0.908867,0.364025,2.563821,0.256667
412,3316,237,427,6305,0.063428,0.933296,0.88592,0.933296,0.11408,0.908991,0.363928,2.564506,0.258571
413,3316,237,426,6306,0.06328,0.933296,0.886157,0.933296,0.113843,0.909116,0.363831,2.565192,0.259148
414,3316,237,425,6307,0.063131,0.933296,0.886394,0.933296,0.113606,0.90924,0.363734,2.565877,0.259333
415,3316,237,424,6308,0.062983,0.933296,0.886631,0.933296,0.113369,0.909365,0.363636,2.566563,0.259512
416,3316,237,423,6309,0.062834,0.933296,0.886868,0.933296,0.113132,0.90949,0.363539,2.56725,0.259747
417,3316,237,422,6310,0.062686,0.933296,0.887105,0.933296,0.112895,0.909615,0.363442,2.567937,0.26
418,3311,242,410,6322,0.060903,0.931889,0.889815,0.931889,0.110185,0.910366,0.361789,2.575779,0.260405
419,3311,242,409,6323,0.060755,0.931889,0.890054,0.931889,0.109946,0.910491,0.361692,2.576471,0.260667
420,3311,242,408,6324,0.060606,0.931889,0.890293,0.931889,0.109707,0.910616,0.361595,2.577164,0.260741
421,3310,243,408,6324,0.060606,0.931607,0.890264,0.931607,0.109736,0.910466,0.361497,2.577079,0.260833
422,3309,244,408,6324,0.060606,0.931326,0.890234,0.931326,0.109766,0.910316,0.3614,2.576993,0.260909
423,3308,245,408,6324,0.060606,0.931044,0.890205,0.931044,0.109795,0.910166,0.361303,2.576908,0.261333
424,3308,245,407,6325,0.060458,0.931044,0.890444,0.931044,0.109556,0.910292,0.361206,2.577601,0.2625
425,3307,246,407,6325,0.060458,0.930763,0.890415,0.930763,0.109585,0.910142,0.361108,2.577516,0.263889
