@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
53,6728,4,3348,205,0.942302,0.999406,0.667725,0.999406,0.332275,0.800571,0.979679,1.020136,0.0445
54,6728,4,3347,206,0.942021,0.999406,0.667792,0.999406,0.332208,0.800619,0.979582,1.020237,0.045
55,6728,4,3345,208,0.941458,0.999406,0.667924,0.999406,0.332076,0.800714,0.979387,1.02044,0.045333
56,6728,4,3344,209,0.941176,0.999406,0.66799,0.999406,0.33201,0.800762,0.97929,1.020541,0.045782
57,6728,4,3343,210,0.940895,0.999406,0.668057,0.999406,0.331943,0.800809,0.979193,1.020642,0.045857
58,6728,4,3342,211,0.940614,0.999406,0.668123,0.999406,0.331877,0.800857,0.979096,1.020744,0.045882
59,6728,4,3341,212,0.940332,0.999406,0.668189,0.999406,0.331811,0.800905,0.978999,1.020845,0.045889
60,6728,4,3340,213,0.940051,0.999406,0.668256,0.999406,0.331744,0.800952,0.978901,1.020946,0.046
61,6728,4,3338,215,0.939488,0.999406,0.668389,0.999406,0.331611,0.801048,0.978707,1.021149,0.046061
62,6728,4,3337,216,0.939206,0.999406,0.668455,0.999406,0.331545,0.801095,0.97861,1.021251,0.046667
63,6728,4,3336,217,0.938925,0.999406,0.668521,0.999406,0.331479,0.801143,0.978512,1.021352,0.046667
64,6728,4,3333,220,0.93808,0.999406,0.668721,0.999406,0.331279,0.801286,0.978221,1.021657,0.047
65,6728,4,3331,222,0.937518,0.999406,0.668854,0.999406,0.331146,0.801382,0.978026,1.02186,0.0475
66,6728,4,3329,224,0.936955,0.999406,0.668987,0.999406,0.331013,0.801477,0.977832,1.022063,0.049
67,6728,4,3328,225,0.936673,0.999406,0.669053,0.999406,0.330947,0.801525,0.977735,1.022165,0.0492
68,6728,4,3327,226,0.936392,0.999406,0.66912,0.999406,0.33088,0.801573,0.977637,1.022266,0.049231
69,6728,4,3326,227,0.93611,0.999406,0.669186,0.999406,0.330814,0.80162,0.97754,1.022368,0.049333
70,6728,4,3325,228,0.935829,0.999406,0.669253,0.999406,0.330747,0.801668,0.977443,1.02247,0.05
71,6728,4,3263,290,0.918379,0.999406,0.673406,0.999406,0.326594,0.80464,0.971415,1.028815,0.050476
72,6728,4,3262,291,0.918097,0.999406,0.673473,0.999406,0.326527,0.804688,0.971317,1.028918,0.050667
73,6728,4,3261,292,0.917816,0.999406,0.673541,0.999406,0.326459,0.804737,0.97122,1.029021,0.051111
74,6728,4,3260,293,0.917534,0.999406,0.673608,0.999406,0.326392,0.804785,0.971123,1.029124,0.051538
75,6728,4,3259,294,0.917253,0.999406,0.673676,0.999406,0.326324,0.804833,0.971026,1.029227,0.051818
76,6728,4,3258,295,0.916972,0.999406,0.673743,0.999406,0.326257,0.804881,0.970929,1.02933,0.052222
77,6728,4,3256,297,0.916409,0.999406,0.673878,0.999406,0.326122,0.804977,0.970734,1.029536,0.052581
78,6728,4,3255,298,0.916127,0.999406,0.673946,0.999406,0.326054,0.805025,0.970637,1.029639,0.052643
79,6728,4,3254,299,0.915846,0.999406,0.674013,0.999406,0.325987,0.805074,0.97054,1.029742,0.054
